artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Orcagna, Bernardo di Cione",0.0006531678641410843,"Orcagna, Andrea di Cione",0.0032658393207054214,1.0,8.258330472612426,[190],['250.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ferrarese, Ercole (Ercole da Ferrara)",0.0032658393207054214,"Bolognese, Guido",0.0006531678641410843,0.2,8.258330472612426,[170],['186.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bolognese, Guido",0.0006531678641410843,"Ferrarese, Ercole (Ercole da Ferrara)",0.0032658393207054214,1.0,8.258330472612426,[170],['186.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Vasari, Giorgio (son of Lazzaro Vasari, the elder)",0.0006531678641410843,"Vasari, Lazzaro (the elder)",0.0032658393207054214,1.0,8.258330472612426,[54],['61.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Vasari, Lazzaro (the elder)",0.0032658393207054214,"Vasari, Giorgio (son of Lazzaro Vasari, the elder)",0.0006531678641410843,0.2,8.258330472612426,[54],['61.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Gaddi, Agnolo",0.003919007184846506,"Gaddi, Giovanni",0.0006531678641410843,0.16666666666666666,7.995296066778632,[217],['279.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Gaddi, Giovanni",0.0006531678641410843,"Gaddi, Agnolo",0.003919007184846506,1.0,7.995296066778632,[217],['279.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Ghiberti, Bartoluccio",0.001959503592423253,"Colle, Simone da (Simone de' Bronzi)",0.0013063357282821686,0.3333333333333333,7.995296066778632,[146],['123.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Colle, Simone da (Simone de' Bronzi)",0.0013063357282821686,"Ghiberti, Bartoluccio",0.001959503592423253,0.5,7.995296066778632,[146],['123.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bellini, Gentile",0.003919007184846506,"Vivarino, Luigi",0.0006531678641410843,0.16666666666666666,7.995296066778632,[178],['195.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
