s,p,o

<http://www.wikidata.org/entity/Q1782172>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Konrad Kuene""@en"

<http://www.wikidata.org/entity/Q1792231>,<http://schema.org/name>,"""Master of the Marble Madonnas""@en"

<http://www.wikidata.org/entity/Q1792231>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Master of the Marble Madonnas""@en"

<http://www.wikidata.org/entity/Q1792231>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Master of the Marble Madonnas""@en"

<http://www.wikidata.org/entity/Q1800944>,<http://schema.org/name>,"""Peter Vischer the Younger""@en"

<http://www.wikidata.org/entity/Q1800944>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Peter II Vischer""@en"

<http://www.wikidata.org/entity/Q1800944>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Peter, II Vischer""@en"

<http://www.wikidata.org/entity/Q1800944>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Peter, the younger Vischer""@en"

<http://www.wikidata.org/entity/Q1800944>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Peter Vischers""@en"

<http://www.wikidata.org/entity/Q1800944>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Peter Vischer the Younger""@en"

<http://www.wikidata.org/entity/Q1800944>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Peter Vischer the Younger""@en"

<http://www.wikidata.org/entity/Q117546618>,<http://schema.org/name>,"""Herder van Groningen""@en"

<http://www.wikidata.org/entity/Q117546618>,<http://schema.org/description>,"""North Netherlandish painter, ca.1550-1609""@en"

<http://www.wikidata.org/entity/Q117546618>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Herder van Gr\u00F6ningen""@en"

<http://www.wikidata.org/entity/Q117546618>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Herder van Groningen""@en"

<http://www.wikidata.org/entity/Q117546618>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Herder van Groningen""@en"

<http://www.wikidata.org/entity/Q1918322>,<http://schema.org/name>,"""Meister der Ansbacher Schwanenritter""@en"

<http://www.wikidata.org/entity/Q1918327>,<http://schema.org/name>,"""Meister der Augustiner-Kreuzigung""@en"

<http://www.wikidata.org/entity/Q1918472>,<http://schema.org/name>,"""Meister der burgundischen Pr\u00E4laten""@en"

<http://www.wikidata.org/entity/Q1918480>,<http://schema.org/name>,"""Meister der l\u00FCbeckischen Triumphkruzifixe""@en"

<http://www.wikidata.org/entity/Q1918522>,<http://schema.org/name>,"""Meester van de Barmhartige Samaritaan""@en"

<http://www.wikidata.org/entity/Q1918522>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Good Samaritan""@en"

<http://www.wikidata.org/entity/Q1918608>,<http://schema.org/name>,"""Meister des Sforza-Gebetbuches""@en"

<http://www.wikidata.org/entity/Q1918620>,<http://schema.org/name>,"""Meister des Wimpfener Quirinusaltars""@en"

<http://www.wikidata.org/entity/Q1918655>,<http://schema.org/name>,"""Meister von 1546""@en"

<http://www.wikidata.org/entity/Q1918666>,<http://schema.org/description>,"""Spanish painter (active c. 1500\u2013)""@en"

<http://www.wikidata.org/entity/Q1918666>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Budapest Master""@en"

<http://www.wikidata.org/entity/Q1918666>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master Of Budapest""@en"

<http://www.wikidata.org/entity/Q1918704>,<http://schema.org/name>,"""Meister von Ottobeuren""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://schema.org/description>,"""15th-century Italian painter (1412-1459)""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Carrand Tryptych""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni di Francesco del Cervelliera""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni da Rovezzano""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni di Franco""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Carrand Triptych""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni di Francesco del Cervelliera i""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni di Francesco.""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Cervelliera""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Rovezzano""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Di Francesco Da Rovezzano""@en"

<http://www.wikidata.org/entity/Q1918707>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni di Francesco Del Cervelliera""@en"

<http://www.wikidata.org/entity/Q1918723>,<http://schema.org/name>,"""Master of Sardoal""@en"

<http://www.wikidata.org/entity/Q1918732>,<http://schema.org/name>,"""Meister von Vielha""@en"

<http://www.wikidata.org/entity/Q1821896>,<http://schema.org/name>,"""Levin Storch""@en"

<http://www.wikidata.org/entity/Q1821896>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Levin Storch""@en"

<http://www.wikidata.org/entity/Q1821896>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Levin Storch""@en"

<http://www.wikidata.org/entity/Q1866375>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hubertus Goltzius""@en"

<http://www.wikidata.org/entity/Q1866375>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hubertus Golzius""@en"

<http://www.wikidata.org/entity/Q1866375>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hubrecht Goltz Goltzius""@en"

<http://www.wikidata.org/entity/Q1866375>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hubert Golzius""@en"

<http://www.wikidata.org/entity/Q1866375>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hubert Goltius""@en"

<http://www.wikidata.org/entity/Q1866375>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hubert Goltz""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://schema.org/name>,"""L\u00E9onard Limousin""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://schema.org/description>,"""French painter and engraver (c.1505-c.1575)""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Leonard Limousin""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Leonard I Limosin""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Leonard, I Limosin""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""L\u00E9onard Limosin""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Leonard Limosin""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""L\u00E9onard Limosin (I)""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""L\u00E9onard Limousin""@en"

<http://www.wikidata.org/entity/Q1879480>,<http://www.w3.org/2000/01/rdf-schema#label>,"""L\u00E9onard Limousin""@en"

<http://www.wikidata.org/entity/Q1918322>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister der Ansbacher Schwanenritter""@en"

<http://www.wikidata.org/entity/Q1918327>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister der Augustiner-Kreuzigung""@en"

<http://www.wikidata.org/entity/Q1918472>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister der burgundischen Pr\u00E4laten""@en"

<http://www.wikidata.org/entity/Q1918480>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister der l\u00FCbeckischen Triumphkruzifixe""@en"

<http://www.wikidata.org/entity/Q1918522>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meester van de Barmhartige Samaritaan""@en"

<http://www.wikidata.org/entity/Q1918608>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister des Sforza-Gebetbuches""@en"

<http://www.wikidata.org/entity/Q1918620>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister des Wimpfener Quirinusaltars""@en"

<http://www.wikidata.org/entity/Q1918655>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister von 1546""@en"

<http://www.wikidata.org/entity/Q1918666>,<http://schema.org/name>,"""Master of Budapest""@en"

<http://www.wikidata.org/entity/Q1918704>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister von Ottobeuren""@en"

<http://www.wikidata.org/entity/Q1918723>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Master of Sardoal""@en"

<http://www.wikidata.org/entity/Q1918732>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister von Vielha""@en"

<http://www.wikidata.org/entity/Q1918322>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister der Ansbacher Schwanenritter""@en"

<http://www.wikidata.org/entity/Q1918327>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister der Augustiner-Kreuzigung""@en"

<http://www.wikidata.org/entity/Q1918472>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister der burgundischen Pr\u00E4laten""@en"

<http://www.wikidata.org/entity/Q1918480>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister der l\u00FCbeckischen Triumphkruzifixe""@en"

<http://www.wikidata.org/entity/Q1918522>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meester van de Barmhartige Samaritaan""@en"

<http://www.wikidata.org/entity/Q1918608>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister des Sforza-Gebetbuches""@en"

<http://www.wikidata.org/entity/Q1918620>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister des Wimpfener Quirinusaltars""@en"

<http://www.wikidata.org/entity/Q1918655>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister von 1546""@en"

<http://www.wikidata.org/entity/Q1918666>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Master of Budapest""@en"

<http://www.wikidata.org/entity/Q1918704>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister von Ottobeuren""@en"

<http://www.wikidata.org/entity/Q1918723>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Master of Sardoal""@en"

<http://www.wikidata.org/entity/Q1918732>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister von Vielha""@en"

<http://www.wikidata.org/entity/Q1918666>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Master of Budapest""@en"

<http://www.wikidata.org/entity/Q1930202>,<http://schema.org/name>,"""Michaelsmeister""@en"

<http://www.wikidata.org/entity/Q1930202>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Michaelsmeister""@en"

<http://www.wikidata.org/entity/Q1930202>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Michaelsmeister""@en"

<http://www.wikidata.org/entity/Q1935685>,<http://schema.org/name>,"""Milonidas""@en"

<http://www.wikidata.org/entity/Q1935685>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Milonidas""@en"

<http://www.wikidata.org/entity/Q1935685>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Milonidas""@en"

<http://www.wikidata.org/entity/Q30015583>,<http://schema.org/description>,"""Italian painter, 1519-1575""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gillis Claeys""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Egidius Claeissins""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gillis Claeissins""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gillis Claeis""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gillis Claeissens the Elder""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Egidius Claeissens""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Egidius Claeis""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://schema.org/name>,"""Gillis Claeissens""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Egidius Claeys""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Gillis Claeissens""@en"

<http://www.wikidata.org/entity/Q30015849>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Gillis Claeissens""@en"

<http://www.wikidata.org/entity/Q1878284>,<http://schema.org/name>,"""Lux Maurus""@en"

<http://www.wikidata.org/entity/Q1878284>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Lux Maurus""@en"

<http://www.wikidata.org/entity/Q1878284>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Lux Maurus""@en"

<http://www.wikidata.org/entity/Q1918396>,<http://schema.org/name>,"""Master of the Lindau Lamentation""@en"

<http://www.wikidata.org/entity/Q1918465>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister der Wurzacher Tafeln""@en"

<http://www.wikidata.org/entity/Q1918697>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister von M\u00F6rlbach""@en"

<http://www.wikidata.org/entity/Q1918396>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Master of the Lindau Lamentation""@en"

<http://www.wikidata.org/entity/Q1918465>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister der Wurzacher Tafeln""@en"

<http://www.wikidata.org/entity/Q1918697>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister von M\u00F6rlbach""@en"

<http://www.wikidata.org/entity/Q1918396>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Master of the Lindau Lamentation""@en"

<http://www.wikidata.org/entity/Q1918396>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Lindau Piet\u00E0""@en"

<http://www.wikidata.org/entity/Q7799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bartolomeo Suardi""@en"

<http://www.wikidata.org/entity/Q7799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bartolommeo Suardi""@en"

<http://www.wikidata.org/entity/Q7799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bartolommeo Suardi Bramantino""@en"

<http://www.wikidata.org/entity/Q7799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bartholomeo Bramantino""@en"

<http://www.wikidata.org/entity/Q7799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bartolomeo Suardi Bramantino""@en"

<http://www.wikidata.org/entity/Q5592>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Michelangiolo Buona Rota""@en"

<http://www.wikidata.org/entity/Q5592>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Michael Angelo di Buonarotti""@en"

<http://www.wikidata.org/entity/Q1782172>,<http://schema.org/name>,"""Konrad Kuene""@en"

<http://www.wikidata.org/entity/Q1782172>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Konrad Kuyn""@en"

<http://www.wikidata.org/entity/Q1918396>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Lindauer Lamentation""@en"

<http://www.wikidata.org/entity/Q1918465>,<http://schema.org/name>,"""Meister der Wurzacher Tafeln""@en"

<http://www.wikidata.org/entity/Q1918465>,<http://schema.org/description>,"""Swabian painter""@en"

<http://www.wikidata.org/entity/Q1918697>,<http://schema.org/name>,"""Meister von M\u00F6rlbach""@en"

<http://www.wikidata.org/entity/Q5492985>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Esteban Jord\u00E1n""@en"

<http://www.wikidata.org/entity/Q5492985>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Esteban Jord\u00E1n""@en"

<http://www.wikidata.org/entity/Q3842970>,<http://schema.org/description>,"""Czech artist""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://www.wikidata.org/prop/direct/P569>,"""1568-09-07T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>"

<http://www.wikidata.org/entity/Q5515997>,<http://schema.org/description>,"""Italian trader and painter (1568-1630)""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gabriel Cagliari""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Caliari""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gabriel Veronese""@en"

<http://www.wikidata.org/entity/Q2054338>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Caliari""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://schema.org/name>,"""Gabriele Caliari""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gabriele Cagliari""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Gabriele Caliari""@en"

<http://www.wikidata.org/entity/Q5515997>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Gabriele Caliari""@en"

<http://www.wikidata.org/entity/Q4718174>,<http://schema.org/description>,"""English sculptor""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://schema.org/description>,"""Italian painter and engraver (1470-1531)""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Girolamo Moceto""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Girolamo Mozetto""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Girolamo Mozeto""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Girolamo Mozzetto""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gerolamo Mocetto""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://schema.org/name>,"""Nicol\u00E1s Franc\u00E9s""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://schema.org/description>,"""Spanish painter and miniaturist (1390-1468)""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master Nicol\u00E1s Franc\u00E9s""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nicol\u00E1s Frances""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nicol\u00E1s Franc\u00E9s of Leon""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nicolas Frances""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Franc\u00E9s Nicol\u00E1s""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master Nicholas""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master Nicolas Frances""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nicolas Frances of Leon""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Frances Nicolas""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://schema.org/name>,"""Girolamo Mocetto""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Girolamo Mocetto""@en"

<http://www.wikidata.org/entity/Q5564772>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Girolamo Mocetto""@en"

<http://www.wikidata.org/entity/Q2358412>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bastiani""@en"

<http://www.wikidata.org/entity/Q1109338>,<http://schema.org/name>,"""Gnosis""@en"

<http://www.wikidata.org/entity/Q1109338>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Gnosis""@en"

<http://www.wikidata.org/entity/Q1109338>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Gnosis""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Nicol\u00E1s Franc\u00E9s""@en"

<http://www.wikidata.org/entity/Q5576608>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Nicol\u00E1s Franc\u00E9s""@en"

<http://www.wikidata.org/entity/Q2126008>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gower""@en"

<http://www.wikidata.org/entity/Q45587153>,<http://schema.org/name>,"""Hong Zhong""@en"

<http://www.wikidata.org/entity/Q6147970>,<http://schema.org/name>,"""Xue Ji""@en"

<http://www.wikidata.org/entity/Q3575387>,<http://schema.org/name>,"""Zhao Chang""@en"

<http://www.wikidata.org/entity/Q2248916>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bohu""@en"

<http://www.wikidata.org/entity/Q10943582>,<http://schema.org/name>,"""Jiang Jiao""@en"

<http://www.wikidata.org/entity/Q45427131>,<http://schema.org/name>,"""Shi Jian""@en"

<http://www.wikidata.org/entity/Q1288620>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Yuke""@en"

<http://www.wikidata.org/entity/Q558863>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Qinan""@en"

<http://www.wikidata.org/entity/Q704735>,<http://schema.org/name>,"""Wu Zhen""@en"

<http://www.wikidata.org/entity/Q704735>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Wu Zhen""@en"

<http://www.wikidata.org/entity/Q704735>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Wu Zhen""@en"

<http://www.wikidata.org/entity/Q698543>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Shiweng""@en"

<http://www.wikidata.org/entity/Q15950979>,<http://schema.org/name>,"""Wang Shichang""@en"

<http://www.wikidata.org/entity/Q15950979>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Wang Shichang""@en"

<http://www.wikidata.org/entity/Q15950979>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Wang Shichang""@en"

<http://www.wikidata.org/entity/Q45369145>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Wang Huizhi""@en"

<http://www.wikidata.org/entity/Q45503450>,<http://schema.org/name>,"""Zheng Shu""@en"

<http://www.wikidata.org/entity/Q45503450>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zheng Shu""@en"

<http://www.wikidata.org/entity/Q45503450>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zheng Shu""@en"

<http://www.wikidata.org/entity/Q16145921>,<http://schema.org/name>,"""Shen Shi""@en"

<http://www.wikidata.org/entity/Q16145921>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Shen Shi""@en"

<http://www.wikidata.org/entity/Q16145921>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Shen Shi""@en"

<http://www.wikidata.org/entity/Q731030>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Xianqing""@en"

<http://www.wikidata.org/entity/Q110175878>,<http://schema.org/name>,"""Huang Jin""@en"

<http://www.wikidata.org/entity/Q45584974>,<http://schema.org/name>,"""Huang Shangzhi""@en"

<http://www.wikidata.org/entity/Q110175878>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Huang Jin""@en"

<http://www.wikidata.org/entity/Q45540454>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Chunan""@en"

<http://www.wikidata.org/entity/Q45584974>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Huang Shangzhi""@en"

<http://www.wikidata.org/entity/Q110175878>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Huang Jin""@en"

<http://www.wikidata.org/entity/Q45584974>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Huang Shangzhi""@en"

<http://www.wikidata.org/entity/Q3287196>,<http://schema.org/name>,"""Mao Yi""@en"

<http://www.wikidata.org/entity/Q4261918>,<http://schema.org/name>,"""Han Xiu""@en"

<http://www.wikidata.org/entity/Q3808923>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zhu Shi""@en"

<http://www.wikidata.org/entity/Q3287196>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Mao Yi""@en"

<http://www.wikidata.org/entity/Q4261918>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Han Xiu""@en"

<http://www.wikidata.org/entity/Q3287196>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Mao Yi""@en"

<http://www.wikidata.org/entity/Q4261918>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Han Xiu""@en"

<http://www.wikidata.org/entity/Q45587153>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hong Zhong""@en"

<http://www.wikidata.org/entity/Q6147970>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Xue Ji""@en"

<http://www.wikidata.org/entity/Q3575387>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zhao Chang""@en"

<http://www.wikidata.org/entity/Q45587153>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hong Zhong""@en"

<http://www.wikidata.org/entity/Q6147970>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Xue Ji""@en"

<http://www.wikidata.org/entity/Q3575387>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zhao Chang""@en"

<http://www.wikidata.org/entity/Q10943582>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jiang Jiao""@en"

<http://www.wikidata.org/entity/Q45427131>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Shi Jian""@en"

<http://www.wikidata.org/entity/Q10943582>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jiang Jiao""@en"

<http://www.wikidata.org/entity/Q45427131>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Shi Jian""@en"

<http://www.wikidata.org/entity/Q2470693>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jingzhong""@en"

<http://www.wikidata.org/entity/Q985448>,<http://schema.org/name>,"""Zhu Quan""@en"

<http://www.wikidata.org/entity/Q985448>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zhu Quan""@en"

<http://www.wikidata.org/entity/Q985448>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zhu Quan""@en"

<http://www.wikidata.org/entity/Q15935641>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zheng Fu""@en"

<http://www.wikidata.org/entity/Q1074727>,<http://schema.org/name>,"""Qian Liu""@en"

