"instance_id","rdf:type","rdfs:label","prov:wasGeneratedBy"
"viewsari:dalmasi-lippo","viewsari:person","Dalmasi, Lippo","viewsari:coreference_reconciliation_run_1"
"viewsari:danti-vincenzio","viewsari:person","Danti, Vincenzio","viewsari:coreference_reconciliation_run_1"
"viewsari:dello","viewsari:person","Dello","viewsari:coreference_reconciliation_run_1"
"viewsari:dente-marco-marco-da-ravenna","viewsari:person","Dente, Marco (Marco da Ravenna)","viewsari:coreference_reconciliation_run_1"
"viewsari:diamante-fra","viewsari:person","Diamante, Fra","viewsari:coreference_reconciliation_run_1"
"viewsari:diana-benedetto","viewsari:person","Diana, Benedetto","viewsari:coreference_reconciliation_run_1"
"viewsari:donato-donatello","viewsari:person","Donato (Donatello)","viewsari:coreference_reconciliation_run_1"
"viewsari:donzello-polito-del","viewsari:person","Donzello, Polito del","viewsari:coreference_reconciliation_run_1"
"viewsari:dossi-battista","viewsari:person","Dossi, Battista","viewsari:coreference_reconciliation_run_1"
"viewsari:dossi-dosso","viewsari:person","Dossi, Dosso","viewsari:coreference_reconciliation_run_1"
"viewsari:duccio","viewsari:person","Duccio","viewsari:coreference_reconciliation_run_1"
"viewsari:eyck-jan-van-johann-of-bruges","viewsari:person","Eyck, Jan van (Johann of Bruges)","viewsari:coreference_reconciliation_run_1"
"viewsari:fabbro-pippo-del","viewsari:person","Fabbro, Pippo del","viewsari:coreference_reconciliation_run_1"
"viewsari:fabriano-gentile-da","viewsari:person","Fabriano, Gentile da","viewsari:coreference_reconciliation_run_1"
"viewsari:fagiuoli-girolamo","viewsari:person","Fagiuoli, Girolamo","viewsari:coreference_reconciliation_run_1"
"viewsari:falconetto-giovan-maria","viewsari:person","Falconetto, Giovan Maria","viewsari:coreference_reconciliation_run_1"
"viewsari:farinato-battista-battista-da-verona","viewsari:person","Farinato, Battista (Battista da Verona)","viewsari:coreference_reconciliation_run_1"
"viewsari:feltro-morto-da","viewsari:person","Feltro, Morto da","viewsari:coreference_reconciliation_run_1"
"viewsari:ferrarese-ercole-ercole-da-ferrara","viewsari:person","Ferrarese, Ercole (Ercole da Ferrara)","viewsari:coreference_reconciliation_run_1"
"viewsari:fiesole-andrea-da-andrea-ferrucci","viewsari:person","Fiesole, Andrea da (Andrea Ferrucci)","viewsari:coreference_reconciliation_run_1"
"viewsari:fiesole-mino-da-mino-di-giovanni","viewsari:person","Fiesole, Mino da (Mino di Giovanni,","viewsari:coreference_reconciliation_run_1"
"viewsari:filarete-antonio","viewsari:person","Filarete, Antonio","viewsari:coreference_reconciliation_run_1"
"viewsari:fivizzano","viewsari:person","Fivizzano","viewsari:coreference_reconciliation_run_1"
"viewsari:florigorio-bastianello-sebastiano-florigerio","viewsari:person","Florigorio, Bastianello (Sebastiano Florigerio)","viewsari:coreference_reconciliation_run_1"
"viewsari:floris-franz-franz-de-vrient","viewsari:person","Floris, Franz (Franz de Vrient)","viewsari:coreference_reconciliation_run_1"
"viewsari:fontana-prospero","viewsari:person","Fontana, Prospero","viewsari:coreference_reconciliation_run_1"
"viewsari:forl-melozzo-da","viewsari:person","Forlò, Melozzo da","viewsari:coreference_reconciliation_run_1"
"viewsari:francesca-piero-della-piero-borghese-or-piero-dal-borgo-a-san-sepolcro","viewsari:person","Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)","viewsari:coreference_reconciliation_run_1"
"viewsari:francia-francesco","viewsari:person","Francia, Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:franciabigio-francia","viewsari:person","Franciabigio (Francia)","viewsari:coreference_reconciliation_run_1"
"viewsari:franco-battista-battista-semolei","viewsari:person","Franco, Battista (Battista Semolei)","viewsari:coreference_reconciliation_run_1"
"viewsari:fredi-bartolo-di-maestro","viewsari:person","Fredi, Bartolo di Maestro","viewsari:coreference_reconciliation_run_1"
"viewsari:fuccio","viewsari:person","Fuccio","viewsari:coreference_reconciliation_run_1"
"viewsari:gaddi-agnolo","viewsari:person","Gaddi, Agnolo","viewsari:coreference_reconciliation_run_1"
"viewsari:gaddi-gaddo","viewsari:person","Gaddi, Gaddo","viewsari:coreference_reconciliation_run_1"
"viewsari:gaddi-giovanni","viewsari:person","Gaddi, Giovanni","viewsari:coreference_reconciliation_run_1"
"viewsari:gaddi-taddeo","viewsari:person","Gaddi, Taddeo","viewsari:coreference_reconciliation_run_1"
"viewsari:galassi-galasso-galasso-ferrarese","viewsari:person","Galassi, Galasso (Galasso Ferrarese)","viewsari:coreference_reconciliation_run_1"
"viewsari:gambara-lattanzio","viewsari:person","Gambara, Lattanzio","viewsari:coreference_reconciliation_run_1"
"viewsari:garbo-raffaellino-del","viewsari:person","Garbo, Raffaellino del","viewsari:coreference_reconciliation_run_1"
"viewsari:garofalo-benvenuto-benvenuto-tisi","viewsari:person","Garofalo, Benvenuto (Benvenuto Tisi)","viewsari:coreference_reconciliation_run_1"
"viewsari:genga-bartolommeo","viewsari:person","Genga, Bartolommeo","viewsari:coreference_reconciliation_run_1"
"viewsari:genga-girolamo","viewsari:person","Genga, Girolamo","viewsari:coreference_reconciliation_run_1"
"viewsari:ghent-justus-of","viewsari:person","Ghent, Justus of","viewsari:coreference_reconciliation_run_1"
"viewsari:gherardi-cristofano-doceno","viewsari:person","Gherardi, Cristofano (Doceno)","viewsari:coreference_reconciliation_run_1"
