artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Daddi, Bernardo",0.000992063492063492,"Casentino, Jacopo di",0.006944444444444444,1.0,7.169925001442313,[25],['15.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Maiano, Giuliano da",0.006944444444444444,"Donzello, Polito del",0.000992063492063492,0.14285714285714285,7.169925001442313,[14],['14.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Donzello, Polito del",0.000992063492063492,"Maiano, Giuliano da",0.006944444444444444,1.0,7.169925001442313,[14],['14.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.006944444444444444,Tribolo (Niccolï¿½),0.000992063492063492,0.14285714285714285,7.169925001442313,[232],['329.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Albertinelli, Mariotto",0.006944444444444444,Visino,0.000992063492063492,0.14285714285714285,7.169925001442313,[170],['225.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Visino,0.000992063492063492,"Albertinelli, Mariotto",0.006944444444444444,1.0,7.169925001442313,[170],['225.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Caravaggio, Polidoro da (Polidoro Caldara)",0.006944444444444444,Maturino,0.001984126984126984,0.2857142857142857,7.169925001442313,"[182, 176]","['257.0', '248.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Maturino,0.001984126984126984,"Caravaggio, Polidoro da (Polidoro Caldara)",0.006944444444444444,1.0,7.169925001442313,"[182, 176]","['257.0', '248.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Tribolo (Niccolï¿½),0.000992063492063492,"Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.006944444444444444,1.0,7.169925001442313,[232],['329.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Pisano, Niccola",0.007936507936507936,Fuccio,0.000992063492063492,0.125,6.977279923499917,[30],['37.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Margaritone,0.003968253968253968,"Tedesco, Jacopo (Lapo)",0.001984126984126984,0.25,6.977279923499917,[65],['90.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Fuccio,0.000992063492063492,"Pisano, Niccola",0.007936507936507936,1.0,6.977279923499917,[30],['37.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Tedesco, Jacopo (Lapo)",0.001984126984126984,Margaritone,0.003968253968253968,0.5,6.977279923499917,[65],['90.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Claudio, Maestro",0.001984126984126984,"Marcilla, Guglielmo da (Guillaume de Marcillac)",0.007936507936507936,1.0,6.977279923499917,"[254, 255]","['352.0', '354.0']","['3', '3']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Marcilla, Guglielmo da (Guillaume de Marcillac)",0.007936507936507936,"Claudio, Maestro",0.001984126984126984,0.25,6.977279923499917,"[254, 255]","['352.0', '354.0']","['3', '3']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Francia, Francesco",0.007936507936507936,Fivizzano,0.000992063492063492,0.125,6.977279923499917,[29],['29.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Fivizzano,0.000992063492063492,"Francia, Francesco",0.007936507936507936,1.0,6.977279923499917,[29],['29.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",0.008928571428571428,Biagio (pupil of Botticelli),0.000992063492063492,0.1111111111111111,6.807354922057604,[251],['288.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Mantegna, Andrea",0.008928571428571428,"Squarcione, Jacopo",0.001984126984126984,0.2222222222222222,6.807354922057604,"[280, 280]","['329.0', '328.0']","['2', '2']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Romano, Paolo",0.002976190476190476,"Lotti, Lorenzetto (Lorenzo)",0.002976190476190476,0.3333333333333333,6.807354922057604,[56],['71.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
