artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Verrocchio, Andrea","Vinci, Leonardo da",0.21052631578947367,"[271, 90, 92, 50]","['402', '107', '109', '63']","['2', '3', '3', '4']"
"Sarto, Andrea del (Andrea d' Agnolo)",Franciabigio (Francia),0.20408163265306123,"[87, 220, 89, 104, 221]","['118', '309', '122', '149', '312']","['4', '4', '4', '4', '4']"
"Ghirlandajo, Domenico","Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",0.2,"[248, 222]","['366', '327']","['2', '2']"
"Donzello, Polito del","Maiano, Benedetto da",0.2,[14],['20'],['2']
"Maiano, Benedetto da","Tasso, Domenico del",0.2,[262],['388'],['2']
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)","Feltro, Morto da",0.2,[228],['319'],['4']
"Albertinelli, Mariotto","San Marco, Fra Bartolommeo di (Baccio della Porta)",0.2,[166],['215'],['3']
"San Marco, Fra Bartolommeo di (Baccio della Porta)","Sogliani, Giovanni Antonio",0.2,[160],['233'],['4']
"Cosimo, Piero di","Barile, Gian (of Florence)",0.2,[86],['117'],['4']
Torrigiano,"Credi, Lorenzo di",0.2,[186],['240'],['3']
Vitruvius,"Giocondo, Fra",0.2,[5],['4'],['5']
Liberale,"Morone, Domenico",0.2,[36],['65'],['5']
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.1935483870967742,"[204, 241, 201, 203, 200, 243]","['231', '269', '228', '230', '227', '270']","['1', '1', '1', '1', '1', '1']"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.19230769230769232,"[86, 201, 217, 215, 214]","['91', '228', '242', '241', '240']","['1', '1', '1', '1', '1']"
"Pisano, Giovanni",Agostino (of Siena),0.18181818181818182,[98],['225'],['0']
"Aretino, Spinello","Casentino, Jacopo di",0.18181818181818182,[25],['25'],['1']
"Bellini, Jacopo","Giocondo, Fra",0.18181818181818182,[11],['16'],['5']
"Bellini, Jacopo",Liberale,0.18181818181818182,[11],['16'],['5']
"Bellini, Giovanni","Vivarino, Luigi",0.18181818181818182,[179],['259'],['2']
"Bellini, Giovanni","Carpaccio (Scarpaccia), Vittore",0.18181818181818182,[58],['67'],['3']
"Rosselli, Cosimo","Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.18181818181818182,[189],['281'],['2']
"Lippi, Filippo (Filippino)","Agnolo, Baccio d' (Baccio Baglioni)",0.18181818181818182,[66],['114'],['5']
Franciabigio (Francia),"Francesco, Mariotto di",0.18181818181818182,[232],['328'],['4']
"Bronzino, Agnolo","San Gallo, Aristotile (Bastiano) da",0.18181818181818182,[29],['34'],['6']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Bartoluccio",0.17391304347826086,"[144, 145]","['157', '159']","['1', '1']"
"Vecelli, Tiziano (Tiziano da Cadore)","Lombardi, Alfonso",0.16666666666666666,[134],['196'],['4']
"Rosselli, Cosimo","Cosimo, Piero di",0.16666666666666666,[126],['159'],['3']
"Cronaca, Il (Simone del Pollaiuolo)","Agnolo, Baccio d' (Baccio Baglioni)",0.16666666666666666,[66],['114'],['5']
"Ghirlandajo, Ridolfo","Credi, Lorenzo di",0.16666666666666666,[280],['383'],['3']
"Peruzzi, Baldassarre (Baldassarre da Siena)","Tozzo, Antonio del (Antonio del Rozzo)",0.16666666666666666,[73],['101'],['4']
"Gherardi, Cristofano (Doceno)","Veltroni, Stefano",0.16666666666666666,"[123, 124]","['154', '156']","['6', '6']"
"Buonarroti, Michelagnolo","Bugiardini, Giuliano",0.1568627450980392,"[108, 112, 111, 113]","['134', '142', '140', '143']","['6', '6', '6', '6']"
"Pisano, Giovanni",Agnolo (of Siena),0.15384615384615385,[98],['225'],['0']
"Gaddi, Taddeo","Gaddi, Agnolo",0.15384615384615385,[218],['408'],['0']
"Bellini, Jacopo","Bellini, Giovanni",0.15384615384615385,[174],['252'],['2']
"Vasari, Lazzaro (the elder)","Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)",0.15384615384615385,[52],['76'],['2']
"Verrocchio, Andrea",Orsino,0.15384615384615385,[276],['413'],['2']
"Peruzzi, Baldassarre (Baldassarre da Siena)",Vitruvius,0.15384615384615385,[71],['96'],['4']
"Genga, Bartolommeo","Genga, Girolamo",0.15384615384615385,[208],['281'],['6']
"Sanzio, Raffaello (Raffaello da Urbino)","Romano, Giulio (Giulio Pippi de' Giannuzzi)",0.14814814814814814,"[237, 77, 78, 108, 79, 146, 103, 148]","['328', '104', '105', '157', '108', '238', '173', '241']","['3', '4', '4', '4', '4', '5', '5', '5']"
"Cimabue, Giovanni","Gaddi, Gaddo",0.14285714285714285,[56],['167'],['0']
"Viniziano, Antonio","Bellini, Giovanni",0.14285714285714285,[176],['256'],['2']
"Robbia, Luca della","Spinelli, Parri",0.14285714285714285,[175],['200'],['1']
"Ghirlandajo, Domenico","Ghirlandajo, David",0.14285714285714285,[231],['339'],['2']
"Signorelli, Luca (Luca da Cortona)","Genga, Girolamo",0.14285714285714285,[199],['264'],['6']
"Bandinelli, Baccio (Baccio de' Brandini)","Agnolo, Giuliano di Baccio d'",0.14285714285714285,"[70, 71, 89, 84]","['122', '123', '112', '107']","['5', '5', '6', '6']"
"Vinci, Leonardo da","Vinci, Pierino (Piero) da",0.13793103448275862,"[44, 43]","['49', '47']","['6', '6']"
