"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","page_number","biography_slug","vol","level"
"viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio_page_56","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Don Lorenzo Monaco, Page 56","viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_56","","56","don-lorenzo-monaco","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_56","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Don Lorenzo Monaco, Page 56","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_56","56","don-lorenzo-monaco","2","manifestation"
"viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio_page_57","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Don Lorenzo Monaco, Page 57","viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_57","","57","don-lorenzo-monaco","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_57","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Don Lorenzo Monaco, Page 57","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_57","57","don-lorenzo-monaco","2","manifestation"
"viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio_page_58","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Don Lorenzo Monaco, Page 58","viewsari:the_lives_1568_volume-2_don-lorenzo-monaco-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_58","","58","don-lorenzo-monaco","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio_page_58","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Don Lorenzo Monaco, Page 58","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_don-lorenzo-monaco-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_58","58","don-lorenzo-monaco","2","manifestation"
"viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio_page_59","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Taddeo Bartoli, Page 59","viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio_page_59","","59","taddeo-bartoli","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio_page_59","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Taddeo Bartoli, Page 59","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_59","59","taddeo-bartoli","2","manifestation"
"viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio_page_60","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Taddeo Bartoli, Page 60","viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio_page_60","","60","taddeo-bartoli","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio_page_60","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Taddeo Bartoli, Page 60","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_60","60","taddeo-bartoli","2","manifestation"
"viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio_page_61","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Taddeo Bartoli, Page 61","viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio_page_61","","61","taddeo-bartoli","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio_page_61","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Taddeo Bartoli, Page 61","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_61","61","taddeo-bartoli","2","manifestation"
"viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio_page_62","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Taddeo Bartoli, Page 62","viewsari:the_lives_1568_volume-2_taddeo-bartoli-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_taddeo-bartoli-bio_page_62","","62","taddeo-bartoli","2","expression"
