"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","start_page","vol","level"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_fra-giocondo-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Fra Giocondo and Liberale and Others (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_1","1","6","manifestation"
"viewsari:the_lives_1568_volume-6_granacci-bio","viewsari:biography","fabio:Expression","Life of Francesco Granacci","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_granacci-bio","","23","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_granacci-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Francesco Granacci (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_23","23","6","manifestation"
"viewsari:the_lives_1568_volume-6_baccio-d-agnolo-bio","viewsari:biography","fabio:Expression","Life of Baccio d'Agnolo","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_baccio-d-agnolo-bio","","33","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_baccio-d-agnolo-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Baccio d'Agnolo (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_33","33","6","manifestation"
"viewsari:the_lives_1568_volume-6_antonio-san-gallo-younger-bio","viewsari:biography","fabio:Expression","Life of Antonio da San Gallo the Younger","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_antonio-san-gallo-younger-bio","","47","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_antonio-san-gallo-younger-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Antonio da San Gallo the Younger (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_47","47","6","manifestation"
"viewsari:the_lives_1568_volume-6_jacopo-sansovino-bio","viewsari:biography","fabio:Expression","Life of Jacopo Sansovino","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_jacopo-sansovino-bio","","117","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_jacopo-sansovino-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Jacopo Sansovino (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_117","117","6","manifestation"
"viewsari:the_lives_1568_volume-6_battista-franco-bio","viewsari:biography","fabio:Expression","Life of Battista Franco","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_battista-franco-bio","","145","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_battista-franco-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Battista Franco (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_145","145","6","manifestation"
"viewsari:the_lives_1568_volume-6_rustici-bio","viewsari:biography","fabio:Expression","Life of Giovan Francesco Rustici","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_rustici-bio","","151","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_rustici-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovan Francesco Rustici (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_151","151","6","manifestation"
"viewsari:the_lives_1568_volume-6_montorsoli-bio","viewsari:biography","fabio:Expression","Life of Fra Giovanni Agnolo Montorsoli","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_montorsoli-bio","","167","6","expression"
