,0
228,"Leyden, Lucas van (Lucas of Holland)"
229,Franciabigio (Francia)
230,"Carpaccio (Scarpaccia), Vittore"
231,"Tozzo, Antonio del (Antonio del Rozzo)"
232,"Pisano, Tommaso"
233,Orsino
234,"Lotti, Lorenzetto (Lorenzo)"
235,"Palladio, Andrea"
236,"Campo, Giulio"
237,"Nassaro, Matteo dal"
238,"Angelo, Lorentino d'"
239,"Granacci, Francesco (Il Granaccio)"
240,"San Gimignano, Vincenzio da (Vincenzio Tamagni)"
241,"Bazzi, Giovanni Antonio (Il Sodoma)"
242,"Feltro, Morto da"
243,"Ghirlandajo, Michele di Ridolfo"
244,"Morone, Domenico"
245,"Tintoretto, Jacopo (Jacopo Robusti)"
246,"Brugnuoli, Bernardino"
247,"Ligorio, Pirro"
248,"Ghiberti, Vittorio"
249,"Panicale, Masolino da"
250,"Giamberti, Francesco"
251,"Altissimo, Cristofano dell'"
252,"Allori, Alessandro (Alessandro del Bronzino)"
253,"Turbido, Francesco (Il Moro)"
254,"Cungi, Battista"
255,"Pagani, Lattanzio"
256,"Veltroni, Stefano"
257,"Colle, Raffaello dal (Raffaello dal Borgo)"
258,"Melighino, Jacomo (Jacopo Melighini)"
259,Ventura
260,"Trevio, Bernardino da (Bernardino Zenale)"
261,"San Gallo, Antonio da (the elder)"
262,Manno
263,"Prato, Girolamo dal"
264,"Conte, Jacopo del"
265,"Agnolo, Baccio d' (Baccio Baglioni)"
266,"Lugano, Tommaso da"
267,"Fabbro, Pippo del"
268,"Lombardo, Girolamo (Girolamo Ferrarese)"
269,"Salï¿½, Pietro da"
270,Salai
271,"Banco, Nanni d' Antonio di"
272,"Bigio, Nanni di Baccio (Giovanni di Baccio)"
273,"Bordone, Paris"
274,"Capanna, Puccio"
275,"Vasari, Lazzaro (the elder)"
276,"Mantovano, Rinaldo"
277,"Clemente, Prospero"
278,Piloto
279,"Vico, Enea"
280,"Spinelli, Parri"
281,"Tasso, Battista del"
282,"Orcagna, Andrea di Cione"
283,Jacone (Jacopo)
284,Gherardo (of Florence)
285,"Romano, Domenico"
286,"Bandinelli, Clemente"
287,"Settignano, Solosmeo da (Antonio di Giovanni)"
288,"Padova, Vellano da"
289,"Rustici, Giovan Francesco"
290,"Agnolo, Giuliano di Baccio d'"
291,"Barile, Gian (Giovan)"
292,"Carpi, Ugo da"
293,"Romanino, Girolamo"
294,Stefano
295,"Cavallini, Pietro"
296,"Treviso, Girolamo da (Girolamo Trevigi)"
297,"Mosca, Simone"
298,"Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani)"
299,"Lombardi, Alfonso"
300,"Schongauer, Martin (Martino)"
301,"Cavalieri, Giovan Battista de'"
302,"Calcagni, Tiberio"
303,Topolino
304,"Porta, Fra Guglielmo della (Guglielmo Milanese)"
305,Menighella
306,"Lorenzi, Battista (Battista del Cavaliere)"
307,"Bagnacavallo, Bartolommeo da (Bartolommeo Ramenghi)"
308,Michelozzo Michelozzi
309,"Indaco, Jacopo dell'"
310,"Montorsoli, Fra Giovanni Agnolo"
311,"Minga, Andrea del"
