instance_id,n_distinct_pairs,n_distinct_persons,involves,involves_2,label
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghirlandajo-david,viewsari:ghirlandajo-domenico,"Co-occurrence of Ghirlandajo, David and Ghirlandajo, Domenico, Vol. 3, Para. 262"
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghirlandajo-benedetto,viewsari:ghirlandajo-domenico,"Co-occurrence of Ghirlandajo, Benedetto and Ghirlandajo, Domenico, Vol. 8, Para. 95"
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghirlandajo-benedetto,viewsari:ghirlandajo-david,"Co-occurrence of Ghirlandajo, Benedetto and Ghirlandajo, David, Vol. 8, Para. 95"
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghirlandajo-domenico,viewsari:ghirlandajo-ridolfo,"Co-occurrence of Ghirlandajo, Domenico and Ghirlandajo, Ridolfo, Vol. 8, Para. 101"
viewsari:cooccurrence_ghi-ghi_1,8,9,viewsari:ghirlandajo-michele-di-ridolfo,viewsari:ghirlandajo-ridolfo,"Co-occurrence of Ghirlandajo, Michele di Ridolfo and Ghirlandajo, Ridolfo, Vol. 8, Para. 110"
viewsari:cooccurrence_ghi-pol_1,3,5,viewsari:ghiberti-bonaccorso,viewsari:polycletus,"Co-occurrence of Ghiberti, Bonaccorso and Polycletus, Vol. 2, Para. 143"
viewsari:cooccurrence_ghi-pol_1,3,5,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,viewsari:polycletus,"Co-occurrence of Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti) and Polycletus, Vol. 2, Para. 143"
viewsari:cooccurrence_ghi-pol_1,3,5,viewsari:ghiberti-bartoluccio,viewsari:pollaiuolo-antonio,"Co-occurrence of Ghiberti, Bartoluccio and Pollaiuolo, Antonio, Vol. 3, Para. 268"
viewsari:cooccurrence_ghi-san_1,2,3,viewsari:ghirlandajo-ridolfo,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Ghirlandajo, Ridolfo and Sanzio, Raffaello (Raffaello da Urbino), Vol. 4, Para. 295"
viewsari:cooccurrence_ghi-san_1,2,3,viewsari:ghirlandajo-ridolfo,viewsari:san-gallo-aristotile-bastiano-da,"Co-occurrence of Ghirlandajo, Ridolfo and San Gallo, Aristotile (Bastiano) da, Vol. 8, Para. 1"
viewsari:cooccurrence_gio-san_1,5,7,viewsari:giotto,viewsari:sanese-ugolino-ugolino-da-siena,"Co-occurrence of Giotto and Sanese, Ugolino (Ugolino da Siena), Vol. 1, Para. 154"
viewsari:cooccurrence_gio-san_1,5,7,viewsari:giocondo-fra,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Giocondo, Fra and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 9"
viewsari:cooccurrence_gio-san_1,5,7,viewsari:giocondo-fra,viewsari:san-gallo-giuliano-da,"Co-occurrence of Giocondo, Fra and San Gallo, Giuliano da, Vol. 6, Para. 9"
viewsari:cooccurrence_gio-san_1,5,7,viewsari:giocondo-fra,viewsari:san-gallo-antonio-da-the-younger,"Co-occurrence of Giocondo, Fra and San Gallo, Antonio da (the younger), Vol. 6, Para. 211"
viewsari:cooccurrence_gio-san_1,5,7,viewsari:giovanni-the-fleming,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Giovanni (the Fleming) and Sanzio, Raffaello (Raffaello da Urbino), Vol. 8, Para. 116"
viewsari:cooccurrence_lip-lip_1,2,2,viewsari:lippi-filippo-filippino,viewsari:lippi-filippo-filippino,"Co-occurrence of Lippi, Filippo (Filippino) and Lippi, Filippo (Filippino), Vol. 3, Para. 98"
viewsari:cooccurrence_lip-lip_1,2,2,viewsari:lippi-filippo-filippino,viewsari:lippi-fra-filippo,"Co-occurrence of Lippi, Filippo (Filippino) and Lippi, Fra Filippo, Vol. 3, Para. 98"
