instance_id,rdf:type,oa:start,oa:end
viewsari:position-selector_25063,doco:TextPositionSelector,1344,1353
viewsari:position-selector_25064,doco:TextPositionSelector,621,639
viewsari:position-selector_25065,doco:TextPositionSelector,826,854
viewsari:position-selector_25066,doco:TextPositionSelector,509,557
viewsari:position-selector_25067,doco:TextPositionSelector,76,95
viewsari:position-selector_25068,doco:TextPositionSelector,93,114
viewsari:position-selector_25069,doco:TextPositionSelector,386,399
viewsari:position-selector_25070,doco:TextPositionSelector,1182,1699
viewsari:position-selector_25071,doco:TextPositionSelector,885,910
viewsari:position-selector_25072,doco:TextPositionSelector,719,937
viewsari:position-selector_25073,doco:TextPositionSelector,137,151
viewsari:position-selector_25074,doco:TextPositionSelector,178,267
viewsari:position-selector_25075,doco:TextPositionSelector,232,257
viewsari:position-selector_25076,doco:TextPositionSelector,167,209
viewsari:position-selector_25077,doco:TextPositionSelector,466,492
viewsari:position-selector_25078,doco:TextPositionSelector,46,58
viewsari:position-selector_25079,doco:TextPositionSelector,46,106
viewsari:position-selector_25080,doco:TextPositionSelector,46,132
viewsari:position-selector_25081,doco:TextPositionSelector,417,440
viewsari:position-selector_25082,doco:TextPositionSelector,417,454
viewsari:position-selector_25083,doco:TextPositionSelector,431,454
viewsari:position-selector_25084,doco:TextPositionSelector,931,958
viewsari:position-selector_25085,doco:TextPositionSelector,700,710
viewsari:position-selector_25086,doco:TextPositionSelector,820,839
viewsari:position-selector_25087,doco:TextPositionSelector,796,839
viewsari:position-selector_25088,doco:TextPositionSelector,163,225
viewsari:position-selector_25089,doco:TextPositionSelector,163,206
viewsari:position-selector_25090,doco:TextPositionSelector,191,225
viewsari:position-selector_25091,doco:TextPositionSelector,943,955
viewsari:position-selector_25092,doco:TextPositionSelector,141,966
viewsari:position-selector_25093,doco:TextPositionSelector,242,252
viewsari:position-selector_25094,doco:TextPositionSelector,325,332
viewsari:position-selector_25095,doco:TextPositionSelector,391,411
viewsari:position-selector_25096,doco:TextPositionSelector,671,805
viewsari:position-selector_25097,doco:TextPositionSelector,846,889
viewsari:position-selector_25098,doco:TextPositionSelector,74,195
viewsari:position-selector_25099,doco:TextPositionSelector,819,834
viewsari:position-selector_25100,doco:TextPositionSelector,575,701
viewsari:position-selector_25101,doco:TextPositionSelector,13,25
viewsari:position-selector_25102,doco:TextPositionSelector,13,25
viewsari:position-selector_25103,doco:TextPositionSelector,601,620
viewsari:position-selector_25104,doco:TextPositionSelector,867,1069
viewsari:position-selector_25105,doco:TextPositionSelector,1172,1190
viewsari:position-selector_25106,doco:TextPositionSelector,682,692
viewsari:position-selector_25107,doco:TextPositionSelector,272,297
viewsari:position-selector_25108,doco:TextPositionSelector,684,742
viewsari:position-selector_25109,doco:TextPositionSelector,804,840
viewsari:position-selector_25110,doco:TextPositionSelector,71,133
viewsari:position-selector_25111,doco:TextPositionSelector,311,397
viewsari:position-selector_25112,doco:TextPositionSelector,11,111
viewsari:position-selector_25113,doco:TextPositionSelector,120,676
viewsari:position-selector_25114,doco:TextPositionSelector,649,707
viewsari:position-selector_25115,doco:TextPositionSelector,0,32
viewsari:position-selector_25116,doco:TextPositionSelector,580,615
viewsari:position-selector_25117,doco:TextPositionSelector,0,142
viewsari:position-selector_25118,doco:TextPositionSelector,217,272
viewsari:position-selector_25119,doco:TextPositionSelector,200,402
viewsari:position-selector_25120,doco:TextPositionSelector,200,632
viewsari:position-selector_25121,doco:TextPositionSelector,200,368
viewsari:position-selector_25122,doco:TextPositionSelector,494,632
viewsari:position-selector_25123,doco:TextPositionSelector,366,402
viewsari:position-selector_25124,doco:TextPositionSelector,821,835
viewsari:position-selector_25125,doco:TextPositionSelector,241,389
viewsari:position-selector_25126,doco:TextPositionSelector,1821,1876
viewsari:position-selector_25127,doco:TextPositionSelector,408,528
viewsari:position-selector_25128,doco:TextPositionSelector,814,871
viewsari:position-selector_25129,doco:TextPositionSelector,81,142
viewsari:position-selector_25130,doco:TextPositionSelector,838,849
viewsari:position-selector_25131,doco:TextPositionSelector,341,376
viewsari:position-selector_25132,doco:TextPositionSelector,341,376
viewsari:position-selector_25133,doco:TextPositionSelector,703,721
viewsari:position-selector_25134,doco:TextPositionSelector,703,721
viewsari:position-selector_25135,doco:TextPositionSelector,981,1004
viewsari:position-selector_25136,doco:TextPositionSelector,981,1004
viewsari:position-selector_25137,doco:TextPositionSelector,355,420
viewsari:position-selector_25138,doco:TextPositionSelector,832,920
viewsari:position-selector_25139,doco:TextPositionSelector,561,581
viewsari:position-selector_25140,doco:TextPositionSelector,1238,1255
viewsari:position-selector_25141,doco:TextPositionSelector,1005,1228
viewsari:position-selector_25142,doco:TextPositionSelector,133,187
viewsari:position-selector_25143,doco:TextPositionSelector,757,781
viewsari:position-selector_25144,doco:TextPositionSelector,880,894
viewsari:position-selector_25145,doco:TextPositionSelector,545,634
viewsari:position-selector_25146,doco:TextPositionSelector,1307,1320
viewsari:position-selector_25147,doco:TextPositionSelector,510,533
viewsari:position-selector_25148,doco:TextPositionSelector,1368,1383
viewsari:position-selector_25149,doco:TextPositionSelector,424,860
viewsari:position-selector_25150,doco:TextPositionSelector,862,1063
viewsari:position-selector_25151,doco:TextPositionSelector,588,659
viewsari:position-selector_25152,doco:TextPositionSelector,545,564
viewsari:position-selector_25153,doco:TextPositionSelector,471,564
viewsari:position-selector_25154,doco:TextPositionSelector,1548,1559
viewsari:position-selector_25155,doco:TextPositionSelector,400,415
viewsari:position-selector_25156,doco:TextPositionSelector,377,415
viewsari:position-selector_25157,doco:TextPositionSelector,337,349
viewsari:position-selector_25158,doco:TextPositionSelector,337,349
viewsari:position-selector_25159,doco:TextPositionSelector,1040,1070
viewsari:position-selector_25160,doco:TextPositionSelector,1061,1090
viewsari:position-selector_25161,doco:TextPositionSelector,1216,1248
viewsari:position-selector_25162,doco:TextPositionSelector,416,489
viewsari:position-selector_25163,doco:TextPositionSelector,115,129
viewsari:position-selector_25164,doco:TextPositionSelector,517,721
viewsari:position-selector_25165,doco:TextPositionSelector,626,1077
viewsari:position-selector_25166,doco:TextPositionSelector,388,420
viewsari:position-selector_25167,doco:TextPositionSelector,1211,1223
viewsari:position-selector_25168,doco:TextPositionSelector,1584,1624
viewsari:position-selector_25169,doco:TextPositionSelector,759,811
viewsari:position-selector_25170,doco:TextPositionSelector,750,774
viewsari:position-selector_25171,doco:TextPositionSelector,1157,1176
viewsari:position-selector_25172,doco:TextPositionSelector,1233,1243
viewsari:position-selector_25173,doco:TextPositionSelector,199,282
viewsari:position-selector_25174,doco:TextPositionSelector,429,448
viewsari:position-selector_25175,doco:TextPositionSelector,520,598
viewsari:position-selector_25176,doco:TextPositionSelector,926,937
viewsari:position-selector_25177,doco:TextPositionSelector,1367,1425
viewsari:position-selector_25178,doco:TextPositionSelector,231,402
viewsari:position-selector_25179,doco:TextPositionSelector,598,615
viewsari:position-selector_25180,doco:TextPositionSelector,1416,1442
viewsari:position-selector_25181,doco:TextPositionSelector,1518,1593
viewsari:position-selector_25182,doco:TextPositionSelector,1509,1534
viewsari:position-selector_25183,doco:TextPositionSelector,699,709
viewsari:position-selector_25184,doco:TextPositionSelector,107,143
viewsari:position-selector_25185,doco:TextPositionSelector,649,672
viewsari:position-selector_25186,doco:TextPositionSelector,225,329
viewsari:position-selector_25187,doco:TextPositionSelector,773,831
viewsari:position-selector_25188,doco:TextPositionSelector,1321,1349
viewsari:position-selector_25189,doco:TextPositionSelector,23,100
viewsari:position-selector_25190,doco:TextPositionSelector,589,606
viewsari:position-selector_25191,doco:TextPositionSelector,22,1017
viewsari:position-selector_25192,doco:TextPositionSelector,928,1017
viewsari:position-selector_25193,doco:TextPositionSelector,132,147
viewsari:position-selector_25194,doco:TextPositionSelector,267,606
viewsari:position-selector_25195,doco:TextPositionSelector,1100,1110
viewsari:position-selector_25196,doco:TextPositionSelector,739,757
viewsari:position-selector_25197,doco:TextPositionSelector,292,301
viewsari:position-selector_25198,doco:TextPositionSelector,202,209
viewsari:position-selector_25199,doco:TextPositionSelector,295,322
viewsari:position-selector_25200,doco:TextPositionSelector,70,77
viewsari:position-selector_25201,doco:TextPositionSelector,70,77
viewsari:position-selector_25202,doco:TextPositionSelector,163,337
viewsari:position-selector_25203,doco:TextPositionSelector,163,337
